username,comment,label,date
mitsu hirato,"Ils ont tous un pass vaccival ""attestant d un schema vaccinal complet"" , sinon veran pas content. Comment? Ça sert â rien finalement&nbsp;? ...",,2022-03-10T10:30:42.000Z
clairobscur,"Zemmour a encore une fois raison devant la réalité les faits,..ça devient presque systématique...",,2022-03-10T10:27:42.000Z
Arcusgi,"S'ils étaient résidents en Ukraine, ils ont des documents pour retourner chez eux. Les autres sont à traiter comme des clandestins, c'est à dire en hôtes d'honneur invités par Macron.",,2022-03-10T09:36:36.000Z
NOUCHKA,Le non-contrôle continue des arrivées sur notre sol…A l’état d’agir afin qu’il renvoie sur le champs les non-ukrainiens…,,2022-03-10T07:24:39.000Z
Fanchon LE DOZE,"""Les non-Ukrainiens arrivés dans le flux ne pourront y prétendre, sauf s’ils justifient d’un titre de résident en Ukraine""... Encore heureux, car ceux-là ont déjà un pays d'origine, contrairement aux réfugiés ukrainiens dont le pays est bombardé.",,2022-03-09T18:35:24.000Z
Raoul Radis,Heureusement qu'il y a l'empathie des Français pour accueillir nos frères africains&nbsp;!,,2022-03-09T18:07:56.000Z
Celaure,"Il me semble avoir compris que les réfugiés venant d Ukraine auraient un droit d asile, temporaire.&nbsp;?",,2022-03-09T17:26:46.000Z
daphnedupont,"""Des discussions sont en cours avec Madrid pour laisser celles qui le veulent rejoindre les leurs en Espagne, où réside une importante communauté ukrainienne (112.000 personnes contre 18.000 en France avant le conflit). La SNCF compte affréter des trains pour faciliter l’opération"".<br>Ce qui signifie, en réalité, que la france n'accueillera que des ressortissants du maghreb qui sont loin d'être dans la situation désastreuse des Ukrainiens&nbsp;!<br>Bravo la France&nbsp;!",,2022-03-09T15:43:58.000Z
Assez ..,"Voilà qui donne encore une fois raison à Eric Zemmour.<br>La meute l'a diabolisé sur les migrants ukrainiens et on s'aperçoit maintenant que sa proposition est la plus juste et la plus équilibrée.<br>A part sur le déclenchement de la guerre en Ukraine, il a raison avant les autres et ses propositions sont souvent reprises par les autres candidats et macron.",,2022-03-09T15:38:32.000Z
anonyme,Cet article devrait faire la une&nbsp;!!! C’est une honte on va encore payer pour des gens qui ne devraient pas être là,,2022-03-09T12:24:23.000Z
Kermitt ,C est open bar. On me demande mon pass pour boire un café mais tout le monde arrive en france sans papier sans contrôle. Quel beau pays,,2022-03-09T12:01:08.000Z
SergedePennsylvanie,"Et encore des algeriens et des marocains qui fuient la guerre dans leur pays, les pauvres...",,2022-03-09T10:34:21.000Z
arlet 18,"Les réticences de Zemmour n'étaient donc pas anodines , concernant l'accueil des Ukrainiens ......",,2022-03-09T10:30:46.000Z
Will,Ben voyons&nbsp;! Si les Français ne se lèvent pas contre ça cela va très très mal se terminer. On a des gueules de cocus. On va repartir pour 5 ans de cocufies ahahaha bon on doit aimer ça,,2022-03-09T09:48:05.000Z
anonyme 122204,Ukrainien yes<br>Algérien no<br>Po complique Mam Merkel,,2022-03-09T09:11:26.000Z
Scate,"Les non-ukrainiens doivent retourner dans leur pays. Y'en a marre, la France n'a pas vocation à accueillir tous ceux qui veulent se faire assister. Il y a assez de pauvreté et de délinquance, on n'en peut plus&nbsp;!",,2022-03-09T08:56:33.000Z
mordicus,Magnifique.<br>Quand je pense qu'on a failli augmenter les salaires...,,2022-03-09T08:34:45.000Z
mastrou,Et ben voilà&nbsp;!..<br>Macron a trouvé la solution&nbsp;!<br>Pour faire passer ses immigrés favoris.....,,2022-03-09T07:59:13.000Z
Félix86,L'Algérie n'est pas en guerre. Il ne devrait pas y avoir la moindre demande d'asile. Expulsion directe.,,2022-03-09T07:28:39.000Z
Salluste10,Pas fous les Algériens!,,2022-03-09T07:02:49.000Z
lagros,Ben voyons. Il vous l'avait bien dit le z,,2022-03-09T06:53:23.000Z
Ragnar,Il règne un tel laxisme en France causé par une bienveillance mortifère que la notion de réfugié politique a été dévoyée.<br>Il est grand temps de changer de paradigme.,,2022-03-09T06:53:14.000Z
Rett,Les opportunistes se nourrissent du malheur de leurs hôtes.,,2022-03-09T06:01:26.000Z
BERNARD SORET 1,Un train peut en cacher un autre c'est bien connu,,2022-03-09T05:14:11.000Z
nico781,Il faut arrêter avec les statuts de réfugiés bidons. Hors zone de guerre ou personne dûment persécutée le statut de réfugié doit être exclus... Pas en 6 mois mais en 24h,,2022-03-08T23:54:51.000Z
hellolafrance,Encore ces gens-là. Ras le bol,,2022-03-08T22:45:32.000Z
Charlie,"HONTEUX&nbsp;!<br>Les Français sont des veaux, ils n'auront que ce qu'ils méritent s'ils réélisent Macron.",,2022-03-08T22:28:47.000Z
Un Citoyen,"Si leur pays n'est pas en guerre, ils doivent retourner chez eux immédiatement.",,2022-03-08T22:23:02.000Z
France eternelle,On va se foutre de nous encore combien de temps&nbsp;?,,2022-03-08T22:14:53.000Z
Swax,On avait bien besoin d'avoir davantage d'immigrés d'origine africaine...,,2022-03-08T22:10:37.000Z
anonyme 123186,L’Algérie n’est pas en guerre. Nous n’avons aucun devoir envers ce pays,,2022-03-08T21:55:39.000Z
Nathalie75015,"Toujours les mêmes profiteurs qui nuisent aux vrais réfugiés, mais avec la bénédiction de l'Agence des Nations Unies pour les réfugiés (HCR). Il est probable qu'une bonne part d'entre eux viennent de Biélorussie, où Loukachenko les avait fait venir pour mettre la Pologne en difficulté.",,2022-03-08T21:55:00.000Z
FranceMaboule,L’Algérie aux algériens non? Ils foutent quoi en France?,,2022-03-08T21:48:03.000Z
,"Leur place est en Algérie. La France songe à accorder des visas et des titres de séjour aux étudiants africains vivant en Ukraine . Les premiers réfugiés ukrainiens sont arrivés en Belgique et le centre Fedasil du Petit Château à Bruxelles est un des lieux de passage pour demander l’asile. Ce sont des femmes, des enfants et parfois des familles entières qui font la file devant les portes du centre. Les inscriptions sont ouvertes le matin, au grand dam de ceux qui sont arrivés dans l’après-midi. “On ne connaissait pas l’adresse. On est venu quand on a trouvé”, explique Mohamed dans le parlophone du centre. On entend alors une femme lui répondre “si vous venez trop tard, c’est normal qu’il n’y ait plus de place.” Mohamed et sa famille sont originaire d’Afghanistan. Un pays qu’ils ont fuit il y a 15 ans et ils vivaient depuis en Ukraine. “Maintenant, on revit cela, les mêmes situations, on est effrayé”, raconte-t-il. Cette nuit encore, comme la nuit dernière, Mohamed et sa famille vont devoir passer la nuit dans la rue. “Il faut venir faire la file ici à partir de 7h du matin”, explique la dame derrière le parlophone. (…) RTL.be",,2022-03-08T21:24:37.000Z
Segolene69,"L’actualité, tous les jours, donne raison à Zemmour&nbsp;!",,2022-03-08T21:15:34.000Z
dutch,Prévisible. Les réfugiés ukrainiensdoivent s'arrêter dans les pays limitrophes. De toutes façons ça ne durera pas.,,2022-03-08T20:52:37.000Z
DidierLAGARDE,"Un tiers de faux ukrainiens parmi les réfugiés: pas étonnant, c'était pareil pour les réfugiés syriens en 2015.C'est effrayant de voir à quel point nos gouvernements restent indifférents à ces problèmes migratoires qui feront disparaitre sans aucun doute la France<br>J'entends beaucoup parler du peuple ukrainien mais je n'entends aucun homme politique français parler du peuple français.",,2022-03-08T20:33:38.000Z
